WigleWifi-1.4,appRelease=2.25,model=SM-A520F,release=6.0.1,device=a5y17lte,display=MMB29K.A520FXXU1AQF3,board=universal7880,brand=samsung,,,,,,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type,,,,,
ec:8c:a2:08:94:1c,Ariel_University,[ESS][BLE],2017-10-29 10:59:51,40,-87,32.10552399,35.21214531,90.30000305,82,WIFI,,,,,
1c:b9:c4:12:7c:c8,Ariel_University,[ESS][BLE],2017-10-29 10:59:51,11,-46,32.10552399,35.21214531,90.30000305,82,WIFI,,,,,
1c:b9:c4:12:7c:cc,Ariel_University,[ESS][BLE],2017-10-29 10:59:51,36,-58,32.10552399,35.21214531,90.30000305,82,WIFI,,,,,
f8:d1:11:77:77:c6,HelpDesk,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-29 10:59:51,4,-74,32.10552399,35.21214531,90.30000305,82,WIFI,,,,,
8c:0c:90:2d:75:e8,Ariel_University,[ESS],2017-10-29 10:59:51,1,-67,32.10552399,35.21214531,90.30000305,82,WIFI,,,,,
ec:8c:a2:08:94:18,Ariel_University,[ESS][BLE],2017-10-29 10:59:51,1,-77,32.10552399,35.21214531,90.30000305,82,WIFI,,,,,
42501_7213_5475842,Partner,UNKNOWN;il,2017-10-29 10:59:51,0,-95,32.10552399,35.21214531,90.30000305,82,GSM,,,,,
1c:b9:c4:92:7c:c7,,[WPA2-PSK-CCMP][ESS][BLE],2017-10-29 10:59:55,36,-59,32.10556443,35.21237832,108.9000015,73,WIFI,,,,,
00:25:86:cb:fd:f8,,[ESS],2017-10-29 10:59:55,9,-85,32.10556443,35.21237832,108.9000015,73,WIFI,,,,,
ec:8c:a2:88:94:17,,[WPA2-PSK-CCMP][ESS][BLE],2017-10-29 11:00:08,40,-83,32.10551925,35.21240758,111.5999985,67.5,WIFI,,,,,
ec:8c:a2:08:94:18,Ariel_University,[ESS][BLE],2017-10-29 11:00:12,1,-68,32.10541486,35.21230104,129.8999939,61.5,WIFI,,,,,
8c:0c:90:ad:75:e3,,[WPA2-PSK-CCMP][ESS],2017-10-29 11:00:16,1,-72,32.10525363,35.21207859,164.8999939,66,WIFI,,,,,
f8:d1:11:77:77:c6,HelpDesk,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-29 11:58:53,4,-81,32.10315602,35.20852374,706.7000122,34,WIFI,,,,,
1c:b9:c4:12:7c:c8,Ariel_University,[ESS][BLE],2017-10-29 11:58:53,11,-52,32.10315602,35.20852374,706.7000122,34,WIFI,,,,,
8c:0c:90:2d:75:e8,Ariel_University,[ESS],2017-10-29 11:58:53,1,-70,32.10315602,35.20852374,706.7000122,34,WIFI,,,,,
1c:b9:c4:12:7c:cc,Ariel_University,[ESS][BLE],2017-10-29 11:58:53,36,-66,32.10315602,35.20852374,706.7000122,34,WIFI,,,,,
ec:8c:a2:08:94:1c,Ariel_University,[ESS][BLE],2017-10-29 11:58:53,40,-87,32.10315602,35.20852374,706.7000122,34,WIFI,,,,,
8c:0c:90:ad:75:e3,,[WPA2-PSK-CCMP][ESS],2017-10-29 11:58:53,1,-71,32.10315602,35.20852374,706.7000122,34,WIFI,,,,,
fc:c2:de:ae:1f:3a,,[WPA2-PSK-CCMP][ESS][SEC80][SECD00],2017-10-29 11:58:53,6,-54,32.10315602,35.20852374,706.7000122,34,WIFI,,,,,
42501_7213_5475842,Partner,UNKNOWN;il,2017-10-29 11:58:53,0,-101,32.10315602,35.20852374,706.7000122,34,GSM,,,,,
f8:d1:11:77:77:c6,HelpDesk,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-29 11:59:09,4,-69,32.10317379,35.20854142,719.7999878,37.5,WIFI,,,,,
fc:c2:de:ae:1f:3a,,[WPA2-PSK-CCMP][ESS][SEC80][SECD00],2017-10-29 11:59:09,6,-46,32.10317379,35.20854142,719.7999878,37.5,WIFI,,,,,
ec:8c:a2:08:94:18,Ariel_University,[ESS][BLE],2017-10-29 11:59:09,1,-80,32.10317379,35.20854142,719.7999878,37.5,WIFI,,,,,
ec:8c:a2:09:8c:c8,Ariel_University,[ESS][BLE],2017-10-30 10:31:33,11,-71,32.10293566,35.20729747,663.9000244,73,WIFI,,,,,
ec:8c:a2:09:86:48,Ariel_University,[ESS][BLE],2017-10-30 10:31:33,6,-66,32.10293566,35.20729747,663.9000244,73,WIFI,,,,,
54:e6:fc:a4:a9:2a,AUC,[ESS],2017-10-30 10:31:33,1,-87,32.10293566,35.20729747,663.9000244,73,WIFI,,,,,
ec:8c:a2:09:86:4c,Ariel_University,[ESS][BLE],2017-10-30 10:31:33,44,-77,32.10293566,35.20729747,663.9000244,73,WIFI,,,,,
ec:8c:a2:09:8c:cc,Ariel_University,[ESS][BLE],2017-10-30 10:31:33,52,-85,32.10293566,35.20729747,663.9000244,73,WIFI,,,,,
ec:8c:a2:09:f2:b8,Ariel_University,[ESS][BLE],2017-10-30 10:31:33,11,-86,32.10293566,35.20729747,663.9000244,73,WIFI,,,,,
ec:8c:a2:09:93:b8,Ariel_University,[ESS][BLE],2017-10-30 10:31:33,6,-86,32.10293566,35.20729747,663.9000244,73,WIFI,,,,,
42501_7211_3084804,Partner,UNKNOWN;il,2017-10-30 10:31:33,0,-111,32.10293566,35.20729747,663.9000244,73,GSM,,,,,
ec:8c:a2:09:8c:c8,Ariel_University,[ESS][BLE],2017-10-30 10:31:41,11,-67,32.10395322,35.20756418,673.5999756,78,WIFI,,,,,
ec:8c:a2:09:86:48,Ariel_University,[ESS][BLE],2017-10-30 10:31:41,6,-70,32.10395322,35.20756418,673.5999756,78,WIFI,,,,,
54:e6:fc:a4:a9:2a,AUC,[ESS],2017-10-30 10:31:41,1,-83,32.10395322,35.20756418,673.5999756,78,WIFI,,,,,
ec:8c:a2:09:8c:cc,Ariel_University,[ESS][BLE],2017-10-30 10:31:41,52,-83,32.10395322,35.20756418,673.5999756,78,WIFI,,,,,
ec:8c:a2:89:8c:c7,,[WPA2-PSK-CCMP][ESS][BLE],2017-10-30 10:31:41,52,-84,32.10395322,35.20756418,673.5999756,78,WIFI,,,,,
42501_7211_3084804,Partner,UNKNOWN;il,2017-10-30 10:31:41,0,-113,32.10395322,35.20756418,673.5999756,78,GSM,,,,,
ec:8c:a2:09:8c:c8,Ariel_University,[ESS][BLE],2017-10-30 10:32:14,11,-72,32.10196332,35.20711214,667.5999756,128.5,WIFI,,,,,
ec:8c:a2:09:86:48,Ariel_University,[ESS][BLE],2017-10-30 10:32:14,6,-71,32.10196332,35.20711214,667.5999756,128.5,WIFI,,,,,
ec:8c:a2:09:8c:cc,Ariel_University,[ESS][BLE],2017-10-30 10:32:14,52,-83,32.10196332,35.20711214,667.5999756,128.5,WIFI,,,,,
ec:8c:a2:89:8c:c7,,[WPA2-PSK-CCMP][ESS][BLE],2017-10-30 10:32:14,52,-84,32.10196332,35.20711214,667.5999756,128.5,WIFI,,,,,
54:e6:fc:a4:a9:2a,AUC,[ESS],2017-10-30 10:32:14,1,-82,32.10196332,35.20711214,667.5999756,128.5,WIFI,,,,,
42501_7211_3084804,Partner,UNKNOWN;il,2017-10-30 10:32:14,0,-113,32.10196332,35.20711214,667.5999756,128.5,GSM,,,,,
ec:8c:a2:09:93:bc,Ariel_University,[ESS][BLE],2017-10-30 10:32:26,44,-90,32.10280788,35.20728481,677.2000122,72.5,WIFI,,,,,
ec:8c:a2:09:8c:c8,Ariel_University,[ESS][BLE],2017-10-30 10:32:34,11,-64,32.10344322,35.20742085,672.5999756,70,WIFI,,,,,
ec:8c:a2:09:86:48,Ariel_University,[ESS][BLE],2017-10-30 10:32:34,6,-66,32.10344322,35.20742085,672.5999756,70,WIFI,,,,,
ec:8c:a2:09:8c:cc,Ariel_University,[ESS][BLE],2017-10-30 10:32:34,52,-78,32.10344322,35.20742085,672.5999756,70,WIFI,,,,,
54:e6:fc:a4:a9:2a,AUC,[ESS],2017-10-30 10:32:34,1,-88,32.10344322,35.20742085,672.5999756,70,WIFI,,,,,
42501_7211_3084804,Partner,UNKNOWN;il,2017-10-30 10:32:34,0,-113,32.10344322,35.20742085,672.5999756,70,GSM,,,,,
ec:8c:a2:89:8c:c7,,[WPA2-PSK-CCMP][ESS][BLE],2017-10-30 10:32:37,52,-90,32.10309144,35.20722672,657.5,64.5,WIFI,,,,,
ec:8c:a2:89:8c:c7,,[WPA2-PSK-CCMP][ESS][BLE],2017-10-30 10:32:49,52,-82,32.10255835,35.20747935,667.5999756,84,WIFI,,,,,
ec:8c:a2:09:8c:c8,Ariel_University,[ESS][BLE],2017-10-30 10:32:57,11,-58,32.10333036,35.20748472,661.2000122,182,WIFI,,,,,
ec:8c:a2:09:86:4c,Ariel_University,[ESS][BLE],2017-10-30 10:32:57,44,-71,32.10333036,35.20748472,661.2000122,182,WIFI,,,,,
f0:b0:52:3e:ca:d8,Ariel_University,[ESS][BLE],2017-10-30 14:59:30,6,-84,32.10542869,35.20636314,669.2000122,3.5,WIFI,,,,,
f0:b0:52:3e:ca:38,Ariel_University,[ESS][BLE],2017-10-30 14:59:30,1,-77,32.10542869,35.20636314,669.2000122,3.5,WIFI,,,,,
f0:b0:52:3e:ca:dc,Ariel_University,[ESS][BLE],2017-10-30 14:59:30,36,-68,32.10542869,35.20636314,669.2000122,3.5,WIFI,,,,,
f0:b0:52:3e:ca:3c,Ariel_University,[ESS][BLE],2017-10-30 14:59:30,36,-59,32.10542869,35.20636314,669.2000122,3.5,WIFI,,,,,
42501_7211_3084804,Partner,UNKNOWN;il,2017-10-30 14:59:30,0,-95,32.10542869,35.20636314,669.2000122,3.5,GSM,,,,,
f0:b0:52:3e:ca:38,Ariel_University,[ESS][BLE],2017-10-30 14:59:35,1,-72,32.10542592,35.20635132,669.4000244,4,WIFI,,,,,
e0:10:7f:1e:55:48,Ariel_University,[ESS],2017-10-30 14:59:35,11,-61,32.10542592,35.20635132,669.4000244,4,WIFI,,,,,
f0:b0:52:3e:d9:b8,Ariel_University,[ESS][BLE],2017-10-30 14:59:35,11,-66,32.10542592,35.20635132,669.4000244,4,WIFI,,,,,
f0:b0:52:3e:c8:08,Ariel_University,[ESS][BLE],2017-10-30 14:59:35,1,-70,32.10542592,35.20635132,669.4000244,4,WIFI,,,,,
42501_7211_3084804,Partner,UNKNOWN;il,2017-10-30 14:59:35,0,-89,32.10542592,35.20635132,669.4000244,4,GSM,,,,,
06:ae:db:52:51:55,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-30 14:59:47,1,-87,32.10543267,35.20631469,669.2999878,4.5,WIFI,,,,,
14:ae:db:52:51:55,abadi1,[WPA2-PSK-CCMP][ESS],2017-10-30 14:59:47,1,-88,32.10543267,35.20631469,669.2999878,4.5,WIFI,,,,,
f0:b0:52:3e:d9:bc,Ariel_University,[ESS][BLE],2017-10-30 14:59:47,40,-84,32.10543267,35.20631469,669.2999878,4.5,WIFI,,,,,
f0:b0:52:3e:c8:0c,Ariel_University,[ESS][BLE],2017-10-30 14:59:47,44,-88,32.10543267,35.20631469,669.2999878,4.5,WIFI,,,,,
24:c9:a1:36:2a:68,Ariel_University,[ESS],2017-10-30 14:59:47,11,-75,32.10543267,35.20631469,669.2999878,4.5,WIFI,,,,,
ec:8c:a2:08:a4:38,Ariel_University,[ESS][BLE],2017-10-30 14:59:47,6,-83,32.10543267,35.20631469,669.2999878,4.5,WIFI,,,,,
f0:b0:52:3e:d9:bc,Ariel_University,[ESS][BLE],2017-10-30 14:59:53,40,-77,32.10543267,35.20631469,669.2999878,4.5,WIFI,,,,,
f0:b0:52:3e:c8:0c,Ariel_University,[ESS][BLE],2017-10-30 14:59:53,44,-79,32.10543267,35.20631469,669.2999878,4.5,WIFI,,,,,
f0:b0:52:be:ca:37,,[WPA2-PSK-CCMP][ESS][BLE],2017-10-30 14:59:53,36,-78,32.10543267,35.20631469,669.2999878,4.5,WIFI,,,,,
ec:8c:a2:08:a4:3c,Ariel_University,[ESS][BLE],2017-10-30 14:59:53,36,-87,32.10543267,35.20631469,669.2999878,4.5,WIFI,,,,,
24:c9:a1:36:50:98,Ariel_University,[ESS],2017-10-30 14:59:53,6,-86,32.10543267,35.20631469,669.2999878,4.5,WIFI,,,,,
f0:b0:52:3e:ca:d8,Ariel_University,[ESS][BLE],2017-10-30 14:59:59,6,-78,32.10543267,35.20631469,669.2999878,4.5,WIFI,,,,,
f0:b0:52:3e:d9:b8,Ariel_University,[ESS][BLE],2017-10-30 14:59:59,11,-61,32.10543267,35.20631469,669.2999878,4.5,WIFI,,,,,
f0:b0:52:be:d9:b7,,[WPA2-PSK-CCMP][ESS][BLE],2017-10-30 14:59:59,40,-78,32.10543267,35.20631469,669.2999878,4.5,WIFI,,,,,
f0:b0:52:3e:c8:1c,Ariel_University,[ESS][BLE],2017-10-30 14:59:59,52,-90,32.10543267,35.20631469,669.2999878,4.5,WIFI,,,,,
e0:10:7f:1a:b2:58,Ariel_University,[ESS],2017-10-30 14:59:59,11,-84,32.10543267,35.20631469,669.2999878,4.5,WIFI,,,,,
24:c9:a1:36:52:d8,Ariel_University,[ESS],2017-10-30 14:59:59,6,-85,32.10543267,35.20631469,669.2999878,4.5,WIFI,,,,,
ec:8c:a2:88:a4:37,,[WPA2-PSK-CCMP][ESS][BLE],2017-10-30 15:00:17,36,-88,32.10544344,35.20626507,668.2000122,4,WIFI,,,,,
ec:8c:a2:26:d2:98,Ariel_University,[ESS][BLE],2017-10-30 15:00:17,1,-79,32.10544344,35.20626507,668.2000122,4,WIFI,,,,,
24:c9:a1:36:20:88,Ariel_University,[ESS],2017-10-30 15:00:23,6,-86,32.10547567,35.20620648,666.0999756,4,WIFI,,,,,
8c:0c:90:2e:0e:88,Ariel_University,[ESS],2017-10-30 15:00:23,1,-87,32.10547567,35.20620648,666.0999756,4,WIFI,,,,,
8c:0c:90:2d:7a:58,Ariel_University,[ESS],2017-10-30 15:00:29,11,-79,32.10550459,35.20614646,665.2999878,4,WIFI,,,,,
24:c9:a1:36:20:88,Ariel_University,[ESS],2017-10-30 15:00:35,6,-78,32.10554176,35.20606675,663.9000244,3,WIFI,,,,,
8c:0c:90:2e:0e:88,Ariel_University,[ESS],2017-10-30 15:00:35,1,-77,32.10554176,35.20606675,663.9000244,3,WIFI,,,,,
8c:0c:90:2d:7a:58,Ariel_University,[ESS],2017-10-30 15:00:35,11,-74,32.10554176,35.20606675,663.9000244,3,WIFI,,,,,
f0:b4:29:fa:90:5b,mi_5G,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS][BLE],2017-10-30 15:00:35,149,-93,32.10554176,35.20606675,663.9000244,3,WIFI,,,,,
8c:0c:90:2e:0e:58,Ariel_University,[ESS],2017-10-30 15:00:35,6,-68,32.10554176,35.20606675,663.9000244,3,WIFI,,,,,
f0:3e:90:04:f5:28,Ariel_University,[ESS][BLE],2017-10-30 15:00:35,6,-87,32.10554176,35.20606675,663.9000244,3,WIFI,,,,,
f0:b4:29:fa:90:5a,mi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS][BLE],2017-10-30 15:00:41,1,-75,32.10555894,35.20598067,661.9000244,2.5,WIFI,,,,,
f0:3e:90:04:d2:a8,Ariel_University,[ESS][BLE],2017-10-30 15:00:41,1,-77,32.10555894,35.20598067,661.9000244,2.5,WIFI,,,,,
f0:3e:90:04:f5:2c,Ariel_University,[ESS][BLE],2017-10-30 15:00:41,36,-92,32.10555894,35.20598067,661.9000244,2.5,WIFI,,,,,
8c:0c:90:2e:0e:88,Ariel_University,[ESS],2017-10-30 15:01:00,1,-69,32.10555865,35.20571362,662.5999756,2,WIFI,,,,,
c4:12:f5:80:d4:b9,dudu,[WPA2-PSK-CCMP][ESS][BLE],2017-10-30 15:01:00,7,-92,32.10555865,35.20571362,662.5999756,2,WIFI,,,,,
e0:10:7f:1a:b2:58,Ariel_University,[ESS],2017-10-30 15:01:00,11,-75,32.10555865,35.20571362,662.5999756,2,WIFI,,,,,
8c:0c:90:2d:79:78,Ariel_University,[ESS],2017-10-30 15:01:00,6,-81,32.10555865,35.20571362,662.5999756,2,WIFI,,,,,
8c:0c:90:2e:e8:28,Ariel_University,[ESS],2017-10-30 15:01:00,11,-82,32.10555865,35.20571362,662.5999756,2,WIFI,,,,,
f0:3e:90:04:f9:7c,Ariel_University,[ESS][BLE],2017-10-30 15:01:00,36,-94,32.10555865,35.20571362,662.5999756,2,WIFI,,,,,
8c:0c:90:2f:2c:08,Ariel_University,[ESS],2017-10-30 15:01:00,6,-93,32.10555865,35.20571362,662.5999756,2,WIFI,,,,,
8c:0c:90:2d:79:78,Ariel_University,[ESS],2017-10-30 15:01:07,6,-74,32.10555601,35.20561488,662.5999756,2,WIFI,,,,,
68:92:34:4d:5e:23,island-0D5E20,[WPA2-PSK-CCMP][ESS],2017-10-30 15:01:07,1,-77,32.10555601,35.20561488,662.5999756,2,WIFI,,,,,
e0:10:7f:1a:99:f8,Ariel_University,[ESS],2017-10-30 15:01:07,1,-68,32.10555601,35.20561488,662.5999756,2,WIFI,,,,,
8c:0c:90:2f:ca:58,Ariel_University,[ESS],2017-10-30 15:01:07,13,-73,32.10555601,35.20561488,662.5999756,2,WIFI,,,,,
24:c9:a1:36:51:88,Ariel_University,[ESS],2017-10-30 15:01:07,8,-82,32.10555601,35.20561488,662.5999756,2,WIFI,,,,,
8c:0c:90:af:ca:53,,[WPA2-PSK-CCMP][ESS],2017-10-30 15:01:13,13,-71,32.10555819,35.20553794,663.4000244,2.5,WIFI,,,,,
8c:0c:90:2e:e8:28,Ariel_University,[ESS],2017-10-30 15:01:15,11,-77,32.10556028,35.20551438,663.9000244,2,WIFI,,,,,
24:c9:a1:36:4d:c8,Ariel_University,[ESS],2017-10-30 15:01:15,1,-78,32.10556028,35.20551438,663.9000244,2,WIFI,,,,,
24:c9:a1:36:4d:c8,Ariel_University,[ESS],2017-10-30 15:01:23,1,-71,32.10556552,35.2054226,664.0999756,2,WIFI,,,,,
24:c9:a1:b5:e7:e3,,[WPA2-PSK-CCMP][ESS],2017-10-30 15:01:23,6,-87,32.10556552,35.2054226,664.0999756,2,WIFI,,,,,
24:c9:a1:36:51:88,Ariel_University,[ESS],2017-10-30 15:01:23,8,-77,32.10556552,35.2054226,664.0999756,2,WIFI,,,,,
24:c9:a1:15:7c:18,Ariel_University,[ESS],2017-10-30 15:01:23,13,-79,32.10556552,35.2054226,664.0999756,2,WIFI,,,,,
84:18:3a:04:40:98,Ariel_University,[ESS],2017-10-30 15:01:23,11,-85,32.10556552,35.2054226,664.0999756,2,WIFI,,,,,
8c:0c:90:2f:36:48,Ariel_University,[ESS],2017-10-30 15:01:23,8,-88,32.10556552,35.2054226,664.0999756,2,WIFI,,,,,
8c:0c:90:2f:cc:08,Ariel_University,[ESS],2017-10-30 15:01:26,1,-83,32.1055667,35.20538505,664.4000244,2,WIFI,,,,,
8c:0c:90:2e:e8:28,Ariel_University,[ESS],2017-10-30 15:01:34,11,-71,32.10558648,35.20528464,665.2000122,2,WIFI,,,,,
2c:5d:93:3e:f5:38,Ariel_University,[ESS],2017-10-30 15:01:34,11,-84,32.10558648,35.20528464,665.2000122,2,WIFI,,,,,
42501_7211_3084804,Partner,UNKNOWN;il,2017-10-30 15:01:34,0,-95,32.10558648,35.20528464,665.2000122,2,GSM,,,,,
68:92:34:4d:5e:23,island-0D5E20,[WPA2-PSK-CCMP][ESS],2017-10-30 15:01:42,1,-66,32.10558325,35.20518028,666.5,1.5,WIFI,,,,,
24:c9:a1:b6:51:83,,[WPA2-PSK-CCMP][ESS],2017-10-30 15:01:42,8,-78,32.10558325,35.20518028,666.5,1.5,WIFI,,,,,
24:c9:a1:35:ba:28,Ariel_University,[ESS],2017-10-30 15:01:42,1,-77,32.10558325,35.20518028,666.5,1.5,WIFI,,,,,
e0:10:7f:1a:95:c8,Ariel_University,[ESS],2017-10-30 15:01:42,1,-79,32.10558325,35.20518028,666.5,1.5,WIFI,,,,,
8c:0c:90:2e:e8:08,Ariel_University,[ESS],2017-10-30 15:01:42,6,-83,32.10558325,35.20518028,666.5,1.5,WIFI,,,,,
24:c9:a1:35:ba:78,Ariel_University,[ESS],2017-10-30 15:01:42,11,-85,32.10558325,35.20518028,666.5,1.5,WIFI,,,,,
24:c9:a1:36:52:d8,Ariel_University,[ESS],2017-10-30 15:01:42,6,-85,32.10558325,35.20518028,666.5,1.5,WIFI,,,,,
8c:0c:90:2e:17:b8,Ariel_University,[ESS],2017-10-30 15:01:42,6,-85,32.10558325,35.20518028,666.5,1.5,WIFI,,,,,
8c:0c:90:2f:35:38,Ariel_University,[ESS],2017-10-30 15:01:42,13,-86,32.10558325,35.20518028,666.5,1.5,WIFI,,,,,
2c:5d:93:3e:f5:38,Ariel_University,[ESS],2017-10-30 15:01:58,11,-77,32.10542311,35.20511281,667.7000122,2,WIFI,,,,,
e0:10:7f:1a:95:c8,Ariel_University,[ESS],2017-10-30 15:01:58,1,-68,32.10542311,35.20511281,667.7000122,2,WIFI,,,,,
84:18:3a:04:40:98,Ariel_University,[ESS],2017-10-30 15:01:58,11,-67,32.10542311,35.20511281,667.7000122,2,WIFI,,,,,
8c:0c:90:2e:e8:08,Ariel_University,[ESS],2017-10-30 15:01:58,6,-75,32.10542311,35.20511281,667.7000122,2,WIFI,,,,,
24:c9:a1:36:52:d8,Ariel_University,[ESS],2017-10-30 15:01:58,6,-77,32.10542311,35.20511281,667.7000122,2,WIFI,,,,,
8c:0c:90:2f:cc:08,Ariel_University,[ESS],2017-10-30 15:01:58,1,-70,32.10542311,35.20511281,667.7000122,2,WIFI,,,,,
00:25:86:bc:b5:dc,Private-140,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-30 15:01:58,13,-81,32.10542311,35.20511281,667.7000122,2,WIFI,,,,,
8c:0c:90:2f:ce:08,Ariel_University,[ESS],2017-10-30 15:01:58,6,-80,32.10542311,35.20511281,667.7000122,2,WIFI,,,,,
8c:0c:90:2f:cc:08,Ariel_University,[ESS],2017-10-30 15:02:17,1,-35,32.10536348,35.2051263,667.2999878,8,WIFI,,,,,
